onset	duration	type
0.043	1	Objects
1.326	1	Objects
2.609	1	Objects
3.876	1	Objects
5.159	1	Objects
6.442	1	Objects
7.725	1	Objects
8.992	1	Objects
20.274	1	Scenes
21.557	1	Scenes
22.824	1	Scenes
24.107	1	Scenes
25.374	1	Scenes
26.673	1	Scenes
27.94	1	Scenes
29.206	1	Scenes
40.488	1	Scrambled
41.755	1	Scrambled
43.021	1	Scrambled
44.305	1	Scrambled
45.588	1	Scrambled
46.871	1	Scrambled
48.154	1	Scrambled
49.437	1	Scrambled
60.719	1	Objects
61.986	1	Objects
63.253	1	Objects
64.536	1	Objects
65.803	1	Objects
67.102	1	Objects
68.369	1	Objects
69.652	1	Objects
80.934	1	Scenes
82.201	1	Scenes
83.5	1	Scenes
84.767	1	Scenes
86.05	1	Scenes
87.317	1	Scenes
88.6	1	Scenes
89.883	1	Scenes
101.165	1	Scrambled
102.448	1	Scrambled
103.732	1	Scrambled
105.031	1	Scrambled
106.315	1	Scrambled
107.598	1	Scrambled
108.881	1	Scrambled
110.164	1	Scrambled
121.446	1	Objects
122.73	1	Objects
124.029	1	Objects
125.297	1	Objects
126.596	1	Objects
127.879	1	Objects
129.146	1	Objects
130.429	1	Objects
141.711	1	Scenes
142.994	1	Scenes
144.261	1	Scenes
145.545	1	Scenes
146.828	1	Scenes
148.127	1	Scenes
149.41	1	Scenes
150.693	1	Scenes
161.975	1	Scrambled
163.259	1	Scrambled
164.543	1	Scrambled
165.826	1	Scrambled
167.125	1	Scrambled
168.408	1	Scrambled
169.691	1	Scrambled
170.974	1	Scrambled
182.257	1	Objects
183.556	1	Objects
184.823	1	Objects
186.106	1	Objects
187.373	1	Objects
188.656	1	Objects
189.923	1	Objects
191.222	1	Objects
202.504	1	Scenes
203.771	1	Scenes
205.054	1	Scenes
206.321	1	Scenes
207.605	1	Scenes
208.888	1	Scenes
210.187	1	Scenes
211.47	1	Scenes
222.752	1	Scrambled
224.035	1	Scrambled
225.319	1	Scrambled
226.618	1	Scrambled
227.885	1	Scrambled
229.168	1	Scrambled
230.451	1	Scrambled
231.735	1	Scrambled
243.033	1	Objects
244.317	1	Objects
245.616	1	Objects
246.9	1	Objects
248.183	1	Objects
249.45	1	Objects
250.733	1	Objects
252.016	1	Objects
263.298	1	Scenes
264.581	1	Scenes
265.864	1	Scenes
267.147	1	Scenes
268.431	1	Scenes
269.714	1	Scenes
270.997	1	Scenes
272.28	1	Scenes
283.562	1	Scrambled
284.846	1	Scrambled
286.145	1	Scrambled
287.413	1	Scrambled
288.712	1	Scrambled
289.995	1	Scrambled
291.278	1	Scrambled
292.561	1	Scrambled
303.844	1	Objects
305.127	1	Objects
306.41	1	Objects
307.693	1	Objects
308.976	1	Objects
310.243	1	Objects
311.51	1	Objects
312.793	1	Objects
324.091	1	Scenes
325.375	1	Scenes
326.658	1	Scenes
327.941	1	Scenes
329.224	1	Scenes
330.507	1	Scenes
331.774	1	Scenes
333.057	1	Scenes
344.339	1	Scrambled
345.622	1	Scrambled
346.89	1	Scrambled
348.189	1	Scrambled
349.472	1	Scrambled
350.755	1	Scrambled
352.038	1	Scrambled
353.322	1	Scrambled
