onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.116000e+00	1	MoneyCue	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	47.067	-0.54754	1
3.116000e+00	6	Anticipation	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	n/a	n/a	1
9.132000e+00	2.5	Image	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	48.867	8.1724	1
1.789700e+01	1	MoneyCue	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor65.jpg	inanimate17.jpg	49.733	-1.0161	1
1.889700e+01	4	Anticipation	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor65.jpg	inanimate17.jpg	n/a	n/a	1
2.289700e+01	2.5	Image	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor65.jpg	inanimate17.jpg	46.21	3.3315	1
3.261200e+01	1	MoneyCue	3	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	45.663	1.9817	3
3.361200e+01	4	Anticipation	3	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	n/a	n/a	3
3.761200e+01	2.5	Image	3	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	43.1	5.1295	3
4.632800e+01	1	MoneyCue	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	43.363	2.4331	2
4.732800e+01	2	Anticipation	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	n/a	n/a	2
4.934400e+01	2.5	Image	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor61.jpg	inanimate37.jpg	40.466	15.455	2
5.906000e+01	1	MoneyCue	3	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor30.jpg	animate37.jpg	50.824	-2.701	2
6.007600e+01	4	Anticipation	3	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor30.jpg	animate37.jpg	n/a	n/a	2
