onset	duration	type
0.061	1	Objects
1.344	1	Objects
2.627	1	Objects
3.911	1	Objects
5.21	1	Objects
6.494	1	Objects
7.777	1	Objects
9.06	1	Objects
20.342	1	Scrambled
21.626	1	Scrambled
22.925	1	Scrambled
24.209	1	Scrambled
25.492	1	Scrambled
26.775	1	Scrambled
28.058	1	Scrambled
29.342	1	Scrambled
40.64	1	Scenes
41.924	1	Scenes
43.207	1	Scenes
44.49	1	Scenes
45.773	1	Scenes
47.057	1	Scenes
48.356	1	Scenes
49.64	1	Scenes
60.939	1	Objects
62.238	1	Objects
63.522	1	Objects
64.805	1	Objects
66.088	1	Objects
67.371	1	Objects
68.655	1	Objects
69.954	1	Objects
81.237	1	Scrambled
82.52	1	Scrambled
83.803	1	Scrambled
85.086	1	Scrambled
86.37	1	Scrambled
87.669	1	Scrambled
88.953	1	Scrambled
90.236	1	Scrambled
101.518	1	Scenes
102.801	1	Scenes
104.085	1	Scenes
105.384	1	Scenes
106.668	1	Scenes
107.951	1	Scenes
109.234	1	Scenes
110.517	1	Scenes
121.8	1	Objects
123.099	1	Objects
124.383	1	Objects
125.666	1	Objects
126.949	1	Objects
128.232	1	Objects
129.515	1	Objects
130.799	1	Objects
142.081	1	Scrambled
143.364	1	Scrambled
144.647	1	Scrambled
145.931	1	Scrambled
147.214	1	Scrambled
148.497	1	Scrambled
149.78	1	Scrambled
151.063	1	Scrambled
162.346	1	Scenes
163.629	1	Scenes
164.912	1	Scenes
166.195	1	Scenes
167.479	1	Scenes
168.778	1	Scenes
170.062	1	Scenes
171.345	1	Scenes
182.611	1	Objects
183.91	1	Objects
185.194	1	Objects
186.477	1	Objects
187.76	1	Objects
189.043	1	Objects
190.326	1	Objects
191.61	1	Objects
202.892	1	Scrambled
204.175	1	Scrambled
205.458	1	Scrambled
206.742	1	Scrambled
208.025	1	Scrambled
209.308	1	Scrambled
210.591	1	Scrambled
211.874	1	Scrambled
223.157	1	Scenes
224.44	1	Scenes
225.723	1	Scenes
227.006	1	Scenes
228.29	1	Scenes
229.589	1	Scenes
230.873	1	Scenes
232.156	1	Scenes
243.438	1	Objects
244.721	1	Objects
246.005	1	Objects
247.288	1	Objects
248.571	1	Objects
249.854	1	Objects
251.137	1	Objects
252.421	1	Objects
263.703	1	Scrambled
264.986	1	Scrambled
266.269	1	Scrambled
267.553	1	Scrambled
268.836	1	Scrambled
270.119	1	Scrambled
271.402	1	Scrambled
272.685	1	Scrambled
283.968	1	Scenes
285.251	1	Scenes
286.534	1	Scenes
287.817	1	Scenes
289.101	1	Scenes
290.4	1	Scenes
291.684	1	Scenes
292.967	1	Scenes
304.233	1	Objects
305.532	1	Objects
306.816	1	Objects
308.099	1	Objects
309.382	1	Objects
310.665	1	Objects
311.948	1	Objects
313.232	1	Objects
324.514	1	Scrambled
325.797	1	Scrambled
327.08	1	Scrambled
328.364	1	Scrambled
329.663	1	Scrambled
330.947	1	Scrambled
332.23	1	Scrambled
333.513	1	Scrambled
344.795	1	Scenes
346.079	1	Scenes
347.362	1	Scenes
348.645	1	Scenes
349.928	1	Scenes
351.211	1	Scenes
352.495	1	Scenes
353.778	1	Scenes
