onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.116000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor18.jpg	animate30.jpg	63.026	1.9458	3
3.116000e+00	4	Anticipation	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor18.jpg	animate30.jpg	n/a	n/a	3
7.132000e+00	2.5	Image	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor18.jpg	animate30.jpg	58.732	-0.46959	3
1.686400e+01	1	MoneyCue	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	54.617	-0.85437	3
1.786400e+01	6	Anticipation	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	n/a	n/a	3
2.386400e+01	2.5	Image	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor54.jpg	inanimate6.jpg	51.667	3.5202	3
3.361300e+01	1	MoneyCue	4	3	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	53.938	-0.64086	3
3.461300e+01	4	Anticipation	4	3	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	n/a	n/a	3
3.862900e+01	2.5	Image	4	3	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	50.57	1.3531	3
4.739400e+01	1	MoneyCue	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	43.824	-0.2437	2
4.839400e+01	2	Anticipation	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	n/a	n/a	2
5.039400e+01	2.5	Image	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	42.533	11.45	2
5.911100e+01	1	MoneyCue	4	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	51.033	-0.66219	3
6.012600e+01	4	Anticipation	4	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	3
6.412600e+01	2.5	Image	4	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	45.567	4.5153	3
7.385800e+01	1	MoneyCue	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor58.jpg	inanimate34.jpg	51.567	1.8432	3
7.485800e+01	4	Anticipation	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor58.jpg	inanimate34.jpg	n/a	n/a	3
7.885800e+01	2.5	Image	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor58.jpg	inanimate34.jpg	60.308	-0.32219	3
8.857300e+01	1	MoneyCue	4	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	49.652	0.0038859	3
8.957300e+01	2	Anticipation	4	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	n/a	n/a	3
9.157300e+01	2.5	Image	4	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor46.jpg	animate43.jpg	42.333	4.0679	3
1.022890e+02	1	MoneyCue	4	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	45.203	-0.68684	3
1.032890e+02	2	Anticipation	4	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	n/a	n/a	3
1.053050e+02	2.5	Image	4	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	45.967	4.0989	3
