onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.116000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	52.01	4.8179	1
3.149000e+00	6	Anticipation	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	n/a	n/a	1
9.149000e+00	2.5	Image	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor66.jpg	inanimate42.jpg	47.433	-0.55628	1
1.789800e+01	1	MoneyCue	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor62.jpg	inanimate38.jpg	43.252	-0.89385	3
1.889800e+01	4	Anticipation	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor62.jpg	inanimate38.jpg	n/a	n/a	3
2.289800e+01	2.5	Image	4	2	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor62.jpg	inanimate38.jpg	43.5	-1.2528	3
3.263000e+01	1	MoneyCue	4	3	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor23.jpg	animate33.jpg	45.567	-0.30437	2
3.363000e+01	4	Anticipation	4	3	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor23.jpg	animate33.jpg	n/a	n/a	2
3.763000e+01	2.5	Image	4	3	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor23.jpg	animate33.jpg	44	6.918	2
4.636300e+01	1	MoneyCue	4	4	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor58.jpg	inanimate34.jpg	62.964	-1.169	2
4.737900e+01	6	Anticipation	4	4	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor58.jpg	inanimate34.jpg	n/a	n/a	2
5.337900e+01	2.5	Image	4	4	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor58.jpg	inanimate34.jpg	46.633	-0.61694	2
6.212800e+01	1	MoneyCue	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	48.2	3.9475	3
6.312800e+01	2	Anticipation	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	n/a	n/a	3
6.512800e+01	2.5	Image	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	50.867	11.174	3
7.586000e+01	1	MoneyCue	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	40.331	0.33114	2
7.686000e+01	4	Anticipation	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	n/a	n/a	2
8.086000e+01	2.5	Image	4	6	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	42.776	13.04	2
9.160900e+01	1	MoneyCue	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	60.167	1.7022	2
9.260900e+01	2	Anticipation	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	n/a	n/a	2
9.462500e+01	2.5	Image	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	53.191	-1.7529	2
1.043410e+02	1	MoneyCue	4	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	50.6	1.4984	2
1.053410e+02	4	Anticipation	4	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	n/a	n/a	2
1.093410e+02	2.5	Image	4	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	52.267	-0.6929	2
1.190900e+02	1	MoneyCue	4	9	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor43.jpg	animate20.jpg	38.716	-0.26771	1
1.200900e+02	2	Anticipation	4	9	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor43.jpg	animate20.jpg	n/a	n/a	1
1.221060e+02	2.5	Image	4	9	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor43.jpg	animate20.jpg	51.7	1.9523	1
1.318390e+02	1	MoneyCue	4	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor65.jpg	inanimate41.jpg	41.136	-1.8678	2
1.328390e+02	6	Anticipation	4	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor65.jpg	inanimate41.jpg	n/a	n/a	2
1.388550e+02	2.5	Image	4	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor65.jpg	inanimate41.jpg	49.61	0.58681	2
1.485870e+02	1	MoneyCue	4	11	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	42.755	n/a	2
1.495870e+02	6	Anticipation	4	11	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	n/a	n/a	2
1.555870e+02	2.5	Image	4	11	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	55.533	-1.6645	2
1.663360e+02	1	MoneyCue	4	12	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor40.jpg	animate18.jpg	60.145	-2.5049	1
1.673360e+02	2	Anticipation	4	12	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor40.jpg	animate18.jpg	n/a	n/a	1
1.693520e+02	2.5	Image	4	12	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor40.jpg	animate18.jpg	64.052	0.63667	1
1.800850e+02	1	MoneyCue	4	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor55.jpg	inanimate31.jpg	47.033	-0.85301	3
1.811010e+02	4	Anticipation	4	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor55.jpg	inanimate31.jpg	n/a	n/a	3
1.851010e+02	2.5	Image	4	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor55.jpg	inanimate31.jpg	43.167	2.112	3
1.948330e+02	1	MoneyCue	4	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor14.jpg	animate27.jpg	40.794	3.8702	3
1.958330e+02	6	Anticipation	4	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor14.jpg	animate27.jpg	n/a	n/a	3
2.018330e+02	2.5	Image	4	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor14.jpg	animate27.jpg	n/a	n/a	3
2.115820e+02	1	MoneyCue	4	15	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor13.jpg	animate2.jpg	48.033	0.95027	1
2.125820e+02	4	Anticipation	4	15	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor13.jpg	animate2.jpg	n/a	n/a	1
2.165980e+02	2.5	Image	4	15	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor13.jpg	animate2.jpg	46.449	-0.079957	1
2.273310e+02	1	MoneyCue	4	16	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor55.jpg	inanimate7.jpg	n/a	-0.39508	2
2.283470e+02	2	Anticipation	4	16	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor55.jpg	inanimate7.jpg	n/a	n/a	2
2.303470e+02	2.5	Image	4	16	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor55.jpg	inanimate7.jpg	61	6.9016	2
2.390800e+02	1	MoneyCue	4	17	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor59.jpg	inanimate11.jpg	56.367	2.2393	2
2.400960e+02	6	Anticipation	4	17	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor59.jpg	inanimate11.jpg	n/a	n/a	2
2.460960e+02	2.5	Image	4	17	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor59.jpg	inanimate11.jpg	43.833	-0.095628	2
2.568450e+02	1	MoneyCue	4	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	51.36	-0.37616	2
2.578450e+02	6	Anticipation	4	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	n/a	n/a	2
2.638610e+02	2.5	Image	4	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	n/a	n/a	2
2.726100e+02	1	MoneyCue	4	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
2.736100e+02	6	Anticipation	4	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
2.796260e+02	2.5	Image	4	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
2.883590e+02	1	MoneyCue	4	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	n/a	n/a	3
2.893590e+02	4	Anticipation	4	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	n/a	n/a	3
2.933750e+02	2.5	Image	4	20	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	n/a	n/a	3
3.030910e+02	1	MoneyCue	4	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor57.jpg	inanimate9.jpg	n/a	n/a	2
3.040910e+02	2	Anticipation	4	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor57.jpg	inanimate9.jpg	n/a	n/a	2
3.060910e+02	2.5	Image	4	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor57.jpg	inanimate9.jpg	n/a	n/a	2
3.168400e+02	1	MoneyCue	4	22	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	2
3.178400e+02	4	Anticipation	4	22	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	2
3.218560e+02	2.5	Image	4	22	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	2
3.305890e+02	1	MoneyCue	4	23	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor46.jpg	animate21.jpg	n/a	n/a	1
3.316050e+02	2	Anticipation	4	23	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor46.jpg	animate21.jpg	n/a	n/a	1
3.336050e+02	2.5	Image	4	23	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor46.jpg	animate21.jpg	n/a	n/a	1
3.443210e+02	1	MoneyCue	4	24	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	n/a	n/a	2
3.453210e+02	2	Anticipation	4	24	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	n/a	n/a	2
3.473370e+02	2.5	Image	4	24	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	n/a	n/a	2
