onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.133000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor49.jpg	inanimate25.jpg	66.8	1.002	3
3.133000e+00	6	Anticipation	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor49.jpg	inanimate25.jpg	n/a	n/a	3
9.133000e+00	2.5	Image	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor49.jpg	inanimate25.jpg	67.667	0.4153	3
1.788200e+01	1	MoneyCue	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor50.jpg	inanimate26.jpg	65.733	-0.71657	2
1.888200e+01	2	Anticipation	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
2.089800e+01	2.5	Image	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor50.jpg	inanimate26.jpg	62.633	3.6781	2
3.163000e+01	1	MoneyCue	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor69.jpg	inanimate21.jpg	55.833	-0.83333	3
3.263000e+01	4	Anticipation	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor69.jpg	inanimate21.jpg	n/a	n/a	3
3.663000e+01	2.5	Image	4	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor69.jpg	inanimate21.jpg	59.867	4.0022	3
4.637900e+01	1	MoneyCue	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	61.1	2.7689	3
4.739500e+01	4	Anticipation	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	n/a	n/a	3
5.139500e+01	2.5	Image	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	64.267	-1.0699	3
