onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	52.833	8.3798	2
3.183000e+00	4	Anticipation	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	n/a	n/a	2
7.199000e+00	2.5	Image	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor72.jpg	inanimate24.jpg	67.967	-1.9011	2
1.693100e+01	1	MoneyCue	1	2	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor18.jpg	animate30.jpg	55.733	7.2831	2
1.793100e+01	2	Anticipation	1	2	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor18.jpg	animate30.jpg	n/a	n/a	2
1.993100e+01	2.5	Image	1	2	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor18.jpg	animate30.jpg	68.167	0.26776	2
3.064700e+01	1	MoneyCue	1	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor28.jpg	animate10.jpg	59.567	2.9316	2
3.166300e+01	6	Anticipation	1	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor28.jpg	animate10.jpg	n/a	n/a	2
3.767900e+01	2.5	Image	1	3	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor28.jpg	animate10.jpg	56.898	4.2986	2
4.639500e+01	1	MoneyCue	1	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	58.2	-0.2123	1
4.739500e+01	4	Anticipation	1	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	n/a	n/a	1
5.141100e+01	2.5	Image	1	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	54.117	3.4161	1
6.112700e+01	1	MoneyCue	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	59.433	0.30437	3
6.212700e+01	4	Anticipation	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	n/a	n/a	3
6.614300e+01	2.5	Image	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	56	0.46092	3
7.687500e+01	1	MoneyCue	1	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor52.jpg	inanimate4.jpg	55.167	3.0464	2
7.787500e+01	6	Anticipation	1	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor52.jpg	inanimate4.jpg	n/a	n/a	2
8.389100e+01	2.5	Image	1	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor52.jpg	inanimate4.jpg	57.967	-0.85334	2
9.362300e+01	1	MoneyCue	1	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	59.933	-1.2776	1
9.462300e+01	6	Anticipation	1	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	n/a	n/a	1
1.006230e+02	2.5	Image	1	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	51.5	4.0719	1
1.093550e+02	1	MoneyCue	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor51.jpg	inanimate27.jpg	55.267	2.8697	1
1.103550e+02	2	Anticipation	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor51.jpg	inanimate27.jpg	n/a	n/a	1
1.123550e+02	2.5	Image	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor51.jpg	inanimate27.jpg	54.433	1.587	1
1.210870e+02	1	MoneyCue	1	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor14.jpg	animate27.jpg	53.7	0.81337	2
1.220870e+02	6	Anticipation	1	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor14.jpg	animate27.jpg	n/a	n/a	2
1.280870e+02	2.5	Image	1	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor14.jpg	animate27.jpg	51.133	1.9164	2
1.368360e+02	1	MoneyCue	1	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	49.601	-0.91822	3
1.378360e+02	6	Anticipation	1	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	n/a	n/a	3
1.438520e+02	2.5	Image	1	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	52.367	-0.36667	3
1.536010e+02	1	MoneyCue	1	11	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	48.933	3.0175	2
1.546170e+02	2	Anticipation	1	11	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	n/a	n/a	2
1.566170e+02	2.5	Image	1	11	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	50.133	2.2273	2
1.663490e+02	1	MoneyCue	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	50.967	2.3202	3
1.673490e+02	4	Anticipation	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	n/a	n/a	3
1.713490e+02	2.5	Image	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor36.jpg	animate16.jpg	54.167	-0.34699	3
1.800810e+02	1	MoneyCue	1	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor10.jpg	animate1.jpg	50.755	-0.60424	1
1.810810e+02	2	Anticipation	1	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor10.jpg	animate1.jpg	n/a	n/a	1
1.830810e+02	2.5	Image	1	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor10.jpg	animate1.jpg	48.233	2.8021	1
1.938130e+02	1	MoneyCue	1	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor65.jpg	inanimate41.jpg	55.533	-1.294	2
