onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.133000e+00	1	MoneyCue	3	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	68.433	-1.0727	2
3.133000e+00	2	Anticipation	3	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	n/a	n/a	2
5.133000e+00	2.5	Image	3	1	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	66.767	3.7087	2
1.588100e+01	1	MoneyCue	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor24.jpg	animate34.jpg	60.7	1.2344	3
1.688100e+01	6	Anticipation	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor24.jpg	animate34.jpg	n/a	n/a	3
2.288100e+01	2.5	Image	3	2	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor24.jpg	animate34.jpg	61.833	1.0304	3
3.363000e+01	1	MoneyCue	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor54.jpg	inanimate6.jpg	50.267	-0.94945	2
3.463000e+01	2	Anticipation	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor54.jpg	inanimate6.jpg	n/a	n/a	2
3.664600e+01	2.5	Image	3	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor54.jpg	inanimate6.jpg	50.867	-0.86667	2
4.737800e+01	1	MoneyCue	3	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	61.5	1.1885	2
4.837800e+01	2	Anticipation	3	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	n/a	n/a	2
5.037800e+01	2.5	Image	3	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	70.133	-0.42842	2
5.911000e+01	1	MoneyCue	3	5	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	64.467	-0.20437	2
6.011000e+01	2	Anticipation	3	5	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	n/a	n/a	2
6.211000e+01	2.5	Image	3	5	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor62.jpg	inanimate14.jpg	61.633	0.20273	2
7.082600e+01	1	MoneyCue	3	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor29.jpg	animate11.jpg	49.433	4.7142	1
7.182600e+01	6	Anticipation	3	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor29.jpg	animate11.jpg	n/a	n/a	1
7.784200e+01	2.5	Image	3	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor29.jpg	animate11.jpg	55.767	3.7697	1
8.657400e+01	1	MoneyCue	3	7	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor60.jpg	inanimate12.jpg	47	-1.0757	1
8.757400e+01	4	Anticipation	3	7	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor60.jpg	inanimate12.jpg	n/a	n/a	1
9.157400e+01	2.5	Image	3	7	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor60.jpg	inanimate12.jpg	54.367	5.3228	1
1.013230e+02	1	MoneyCue	3	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor59.jpg	inanimate35.jpg	35.142	6.822	2
1.023230e+02	6	Anticipation	3	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor59.jpg	inanimate35.jpg	n/a	n/a	2
1.083390e+02	2.5	Image	3	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor59.jpg	inanimate35.jpg	36	10.901	2
1.170880e+02	1	MoneyCue	3	9	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	51.767	0.90546	2
1.180880e+02	4	Anticipation	3	9	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	n/a	n/a	2
1.221040e+02	2.5	Image	3	9	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	38.354	8.6785	2
1.328200e+02	1	MoneyCue	3	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor53.jpg	inanimate5.jpg	47.167	0.41482	1
1.338360e+02	6	Anticipation	3	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor53.jpg	inanimate5.jpg	n/a	n/a	1
1.398520e+02	2.5	Image	3	10	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor53.jpg	inanimate5.jpg	39.5	9.0246	1
1.485850e+02	1	MoneyCue	3	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	69.768	-1.1291	1
1.496010e+02	2	Anticipation	3	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	n/a	n/a	1
1.516010e+02	2.5	Image	3	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	64.7	4.6279	1
1.613330e+02	1	MoneyCue	3	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	60.665	-1.1243	2
1.623330e+02	4	Anticipation	3	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	n/a	n/a	2
1.663330e+02	2.5	Image	3	12	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	52.933	4.9589	2
1.760820e+02	1	MoneyCue	3	13	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	52.767	5.971	2
1.770820e+02	4	Anticipation	3	13	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	2
1.810980e+02	2.5	Image	3	13	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	50.367	-1.7765	2
1.898300e+02	1	MoneyCue	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor61.jpg	inanimate37.jpg	48.057	7.9511	1
1.908300e+02	6	Anticipation	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor61.jpg	inanimate37.jpg	n/a	n/a	1
1.968300e+02	2.5	Image	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor61.jpg	inanimate37.jpg	41.6	5.7134	1
2.055790e+02	1	MoneyCue	3	15	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	56.767	3.0393	1
2.065790e+02	4	Anticipation	3	15	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	n/a	n/a	1
2.105950e+02	2.5	Image	3	15	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	60.833	-2.4563	1
2.213440e+02	1	MoneyCue	3	16	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	38.655	3.5832	2
2.223440e+02	6	Anticipation	3	16	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	n/a	n/a	2
2.283600e+02	2.5	Image	3	16	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor55.jpg	inanimate7.jpg	37	14.636	2
2.390920e+02	1	MoneyCue	3	17	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor42.jpg	animate40.jpg	46.072	-4.1616	1
2.400920e+02	4	Anticipation	3	17	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor42.jpg	animate40.jpg	n/a	n/a	1
2.441080e+02	2.5	Image	3	17	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor42.jpg	animate40.jpg	40.267	10.487	1
2.538400e+02	1	MoneyCue	3	18	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor38.jpg	animate17.jpg	56.1	3.2934	2
2.548400e+02	4	Anticipation	3	18	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor38.jpg	animate17.jpg	n/a	n/a	2
2.588400e+02	2.5	Image	3	18	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor38.jpg	animate17.jpg	42.167	8.9153	2
2.685720e+02	1	MoneyCue	3	19	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	38.667	-1.1913	1
2.695720e+02	2	Anticipation	3	19	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	n/a	n/a	1
2.715720e+02	2.5	Image	3	19	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	43.1	7.2722	1
2.823040e+02	1	MoneyCue	3	20	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor71.jpg	inanimate47.jpg	49.541	2.8357	2
2.833040e+02	2	Anticipation	3	20	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor71.jpg	inanimate47.jpg	n/a	n/a	2
