onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.100000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	58.075	4.5648	3
3.100000e+00	2	Anticipation	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	n/a	n/a	3
5.100000e+00	2.5	Image	4	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor19.jpg	animate4.jpg	64.833	0.10109	3
1.484900e+01	1	MoneyCue	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	52.3	1.2902	3
1.584900e+01	6	Anticipation	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	n/a	n/a	3
2.186500e+01	2.5	Image	4	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	52.567	1.4661	3
3.161400e+01	1	MoneyCue	4	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	43.4	0.79672	3
3.263000e+01	4	Anticipation	4	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	n/a	n/a	3
3.663000e+01	2.5	Image	4	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor23.jpg	animate33.jpg	39.7	11.503	3
4.737900e+01	1	MoneyCue	4	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	41.667	0.77596	1
4.837900e+01	2	Anticipation	4	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	n/a	n/a	1
5.039500e+01	2.5	Image	4	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor7.jpg	animate23.jpg	38.9	13.313	1
6.012800e+01	1	MoneyCue	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor15.jpg	animate28.jpg	49	4.7049	2
6.114400e+01	6	Anticipation	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor15.jpg	animate28.jpg	n/a	n/a	2
6.716000e+01	2.5	Image	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor15.jpg	animate28.jpg	51.833	-0.19399	2
7.587600e+01	1	MoneyCue	4	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor11.jpg	animate25.jpg	53.958	-0.52391	2
7.687600e+01	2	Anticipation	4	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor11.jpg	animate25.jpg	n/a	n/a	2
7.889200e+01	2.5	Image	4	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor11.jpg	animate25.jpg	49.032	7.9027	2
8.960800e+01	1	MoneyCue	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor48.jpg	animate45.jpg	51.251	-0.11131	3
9.060800e+01	2	Anticipation	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor48.jpg	animate45.jpg	n/a	n/a	3
9.262400e+01	2.5	Image	4	7	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor48.jpg	animate45.jpg	47.167	-0.78962	3
1.033730e+02	1	MoneyCue	4	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor49.jpg	inanimate25.jpg	38.7	0.10328	2
1.043730e+02	4	Anticipation	4	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor49.jpg	inanimate25.jpg	n/a	n/a	2
