onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.200000e+00	1	MoneyCue	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	66.2	1.9639	3
3.216000e+00	4	Anticipation	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	n/a	n/a	3
7.216000e+00	2.5	Image	1	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor62.jpg	inanimate38.jpg	63.15	2.473	3
1.694800e+01	1	MoneyCue	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor16.jpg	animate29.jpg	64.833	-0.83333	1
1.794800e+01	4	Anticipation	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor16.jpg	animate29.jpg	n/a	n/a	1
2.196400e+01	2.5	Image	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor16.jpg	animate29.jpg	62.7	1.7098	1
3.068000e+01	1	MoneyCue	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor19.jpg	animate31.jpg	61.867	-1.6216	3
3.168000e+01	2	Anticipation	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor19.jpg	animate31.jpg	n/a	n/a	3
3.368000e+01	2.5	Image	1	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor19.jpg	animate31.jpg	62.6	1.5148	3
4.341200e+01	1	MoneyCue	1	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor64.jpg	inanimate16.jpg	64.633	-2.0432	1
4.441200e+01	4	Anticipation	1	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor64.jpg	inanimate16.jpg	n/a	n/a	1
4.842800e+01	2.5	Image	1	4	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor64.jpg	inanimate16.jpg	59.7	4.382	1
5.814400e+01	1	MoneyCue	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor49.jpg	inanimate25.jpg	62.533	0.58738	3
5.916000e+01	6	Anticipation	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor49.jpg	inanimate25.jpg	n/a	n/a	3
6.517600e+01	2.5	Image	1	5	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor49.jpg	inanimate25.jpg	60.012	6.2791	3
7.389200e+01	1	MoneyCue	1	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor5.jpg	animate46.jpg	62.967	-0.22896	3
7.489200e+01	6	Anticipation	1	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor5.jpg	animate46.jpg	n/a	n/a	3
8.090800e+01	2.5	Image	1	6	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor5.jpg	animate46.jpg	62.9	0.73934	3
8.962400e+01	1	MoneyCue	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor70.jpg	inanimate22.jpg	62.167	1.0956	2
9.064000e+01	2	Anticipation	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor70.jpg	inanimate22.jpg	n/a	n/a	2
9.264000e+01	2.5	Image	1	7	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor70.jpg	inanimate22.jpg	60.7	2.9066	2
1.013560e+02	1	MoneyCue	1	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor18.jpg	animate3.jpg	61.7	-0.7082	3
1.023720e+02	6	Anticipation	1	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor18.jpg	animate3.jpg	n/a	n/a	3
1.083720e+02	2.5	Image	1	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor18.jpg	animate3.jpg	61.7	-0.1918	3
1.171040e+02	1	MoneyCue	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor56.jpg	inanimate32.jpg	60.167	0.30055	2
1.181040e+02	6	Anticipation	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor56.jpg	inanimate32.jpg	n/a	n/a	2
1.241200e+02	2.5	Image	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor56.jpg	inanimate32.jpg	59.633	-0.69891	2
1.338350e+02	1	MoneyCue	1	10	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	55.733	2.3404	3
1.348350e+02	6	Anticipation	1	10	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	n/a	n/a	3
1.408350e+02	2.5	Image	1	10	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	56.967	5.5415	3
1.515840e+02	1	MoneyCue	1	11	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor31.jpg	animate38.jpg	55.81	2.0848	2
1.526000e+02	6	Anticipation	1	11	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor31.jpg	animate38.jpg	n/a	n/a	2
1.586160e+02	2.5	Image	1	11	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor31.jpg	animate38.jpg	59.133	0.93224	2
1.683320e+02	1	MoneyCue	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	55.477	1.031	3
1.693320e+02	2	Anticipation	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	n/a	n/a	3
1.713480e+02	2.5	Image	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	56	4.623	3
1.820800e+02	1	MoneyCue	1	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	56.662	-0.38343	3
1.830800e+02	2	Anticipation	1	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	n/a	n/a	3
1.850800e+02	2.5	Image	1	13	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	55.033	3.4913	3
1.937960e+02	1	MoneyCue	1	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	53.767	1.4372	3
1.947960e+02	4	Anticipation	1	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	n/a	n/a	3
1.988120e+02	2.5	Image	1	14	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor72.jpg	inanimate48.jpg	53.6	3.3508	3
2.095270e+02	1	MoneyCue	1	15	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor52.jpg	inanimate4.jpg	53.433	1.6814	3
2.105270e+02	2	Anticipation	1	15	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor52.jpg	inanimate4.jpg	n/a	n/a	3
2.125270e+02	2.5	Image	1	15	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor52.jpg	inanimate4.jpg	51.933	1.4273	3
2.232430e+02	1	MoneyCue	1	16	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor23.jpg	animate33.jpg	53.852	1.2378	3
2.242590e+02	4	Anticipation	1	16	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor23.jpg	animate33.jpg	n/a	n/a	3
2.282590e+02	2.5	Image	1	16	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor23.jpg	animate33.jpg	56.578	-0.28318	3
2.370080e+02	1	MoneyCue	1	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor68.jpg	inanimate44.jpg	51.267	n/a	3
2.380080e+02	6	Anticipation	1	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor68.jpg	inanimate44.jpg	n/a	n/a	3
2.440240e+02	2.5	Image	1	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor68.jpg	inanimate44.jpg	67.333	-1.9727	3
2.527560e+02	1	MoneyCue	1	18	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor38.jpg	animate17.jpg	65.767	-0.71898	1
2.537560e+02	2	Anticipation	1	18	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor38.jpg	animate17.jpg	n/a	n/a	1
2.557560e+02	2.5	Image	1	18	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor38.jpg	animate17.jpg	66.633	n/a	1
2.664880e+02	1	MoneyCue	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor46.jpg	animate21.jpg	58	1.3393	2
2.674880e+02	6	Anticipation	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor46.jpg	animate21.jpg	n/a	n/a	2
2.735040e+02	2.5	Image	1	19	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor46.jpg	animate21.jpg	55.867	1.7727	2
2.842190e+02	1	MoneyCue	1	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor13.jpg	animate2.jpg	60.067	-1.1158	2
2.852190e+02	2	Anticipation	1	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor13.jpg	animate2.jpg	n/a	n/a	2
2.872190e+02	2.5	Image	1	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor13.jpg	animate2.jpg	64.7	-0.50328	2
2.979350e+02	1	MoneyCue	1	21	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	65.933	-0.7612	2
2.989350e+02	2	Anticipation	1	21	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	n/a	n/a	2
3.009510e+02	2.5	Image	1	21	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor71.jpg	inanimate23.jpg	69.833	-0.47268	2
3.106670e+02	1	MoneyCue	1	22	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	69.167	0.78415	1
3.116830e+02	4	Anticipation	1	22	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	n/a	n/a	1
3.156830e+02	2.5	Image	1	22	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	71.967	-1.5732	1
3.264150e+02	1	MoneyCue	1	23	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor25.jpg	animate8.jpg	69.2	0.062295	3
3.274150e+02	4	Anticipation	1	23	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor25.jpg	animate8.jpg	n/a	n/a	3
3.314310e+02	2.5	Image	1	23	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor25.jpg	animate8.jpg	62.567	-0.94372	3
3.411630e+02	1	MoneyCue	1	24	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor31.jpg	animate12.jpg	65.848	0.29966	2
3.421630e+02	4	Anticipation	1	24	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor31.jpg	animate12.jpg	n/a	n/a	2
3.461630e+02	2.5	Image	1	24	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor31.jpg	animate12.jpg	65.033	7.7863	2
