onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	4	1	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	62.833	3.6713	1
3.183000e+00	6	Anticipation	4	1	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	n/a	n/a	1
9.199000e+00	2.5	Image	4	1	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	65.4	0.15738	1
2.003100e+01	1	MoneyCue	4	2	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor19.jpg	animate4.jpg	54.133	3.3749	3
2.103100e+01	2	Anticipation	4	2	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor19.jpg	animate4.jpg	n/a	n/a	3
2.303100e+01	2.5	Image	4	2	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor19.jpg	animate4.jpg	59.233	1.3896	3
3.384600e+01	1	MoneyCue	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	51.5	n/a	1
3.484600e+01	2	Anticipation	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	n/a	n/a	1
3.684600e+01	2.5	Image	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	57.389	8.1521	1
4.766200e+01	1	MoneyCue	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	60.7	1.3	3
4.866200e+01	6	Anticipation	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	n/a	n/a	3
5.467800e+01	2.5	Image	4	4	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	55.667	7.5301	3
6.449400e+01	1	MoneyCue	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor19.jpg	animate31.jpg	62.341	1.7573	3
6.551000e+01	4	Anticipation	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor19.jpg	animate31.jpg	n/a	n/a	3
6.951000e+01	2.5	Image	4	5	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor19.jpg	animate31.jpg	55.567	8.4989	3
7.932500e+01	1	MoneyCue	4	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor36.jpg	animate16.jpg	57.9	-0.50656	2
8.032500e+01	2	Anticipation	4	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor36.jpg	animate16.jpg	n/a	n/a	2
8.232500e+01	2.5	Image	4	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor36.jpg	animate16.jpg	55.033	7.1798	2
9.114100e+01	1	MoneyCue	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor52.jpg	inanimate4.jpg	53.033	3.2126	2
9.214100e+01	4	Anticipation	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor52.jpg	inanimate4.jpg	n/a	n/a	2
9.614100e+01	2.5	Image	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor52.jpg	inanimate4.jpg	46.789	12.801	2
1.069730e+02	1	MoneyCue	4	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor11.jpg	animate25.jpg	54.833	-0.76776	2
1.079730e+02	6	Anticipation	4	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor11.jpg	animate25.jpg	n/a	n/a	2
1.139890e+02	2.5	Image	4	8	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor11.jpg	animate25.jpg	51.5	5.959	2
1.228050e+02	1	MoneyCue	4	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	51.93	4.6764	3
1.238050e+02	6	Anticipation	4	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	n/a	n/a	3
1.298210e+02	2.5	Image	4	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor26.jpg	animate35.jpg	54.767	0.88907	3
1.386530e+02	1	MoneyCue	4	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	63.6	4.8754	2
1.396530e+02	2	Anticipation	4	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	n/a	n/a	2
1.416530e+02	2.5	Image	4	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor12.jpg	animate26.jpg	62.55	-2.0336	2
1.514520e+02	1	MoneyCue	4	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor67.jpg	inanimate19.jpg	46.801	-0.68135	3
1.524520e+02	6	Anticipation	4	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor67.jpg	inanimate19.jpg	n/a	n/a	3
1.584680e+02	2.5	Image	4	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor67.jpg	inanimate19.jpg	63.619	-0.32397	3
1.682840e+02	1	MoneyCue	4	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor5.jpg	animate46.jpg	51.053	-0.33257	2
1.692840e+02	2	Anticipation	4	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor5.jpg	animate46.jpg	n/a	n/a	2
1.712840e+02	2.5	Image	4	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor5.jpg	animate46.jpg	61.533	5.4011	2
1.821160e+02	1	MoneyCue	4	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	59.753	-1.4454	3
1.831160e+02	4	Anticipation	4	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	n/a	n/a	3
1.871320e+02	2.5	Image	4	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor56.jpg	inanimate8.jpg	50	6.1885	3
1.959480e+02	1	MoneyCue	4	14	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	50.39	-1.4716	2
1.969480e+02	2	Anticipation	4	14	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	n/a	n/a	2
1.989480e+02	2.5	Image	4	14	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor5.jpg	animate22.jpg	57	-1.3115	2
2.087800e+02	1	MoneyCue	4	15	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor70.jpg	inanimate46.jpg	59.971	-1.3253	1
2.097800e+02	2	Anticipation	4	15	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor70.jpg	inanimate46.jpg	n/a	n/a	1
2.117800e+02	2.5	Image	4	15	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor70.jpg	inanimate46.jpg	46.23	10.311	1
2.205960e+02	1	MoneyCue	4	16	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor54.jpg	inanimate30.jpg	45.571	n/a	2
2.215960e+02	6	Anticipation	4	16	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor54.jpg	inanimate30.jpg	n/a	n/a	2
2.276120e+02	2.5	Image	4	16	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor54.jpg	inanimate30.jpg	n/a	n/a	2
2.364270e+02	1	MoneyCue	4	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	72.967	-2.9339	2
2.374270e+02	4	Anticipation	4	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
2.414270e+02	2.5	Image	4	17	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor50.jpg	inanimate26.jpg	56.397	3.0784	2
2.522260e+02	1	MoneyCue	4	18	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor8.jpg	animate48.jpg	48.833	-0.9153	1
2.532260e+02	6	Anticipation	4	18	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor8.jpg	animate48.jpg	n/a	n/a	1
2.592420e+02	2.5	Image	4	18	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor8.jpg	animate48.jpg	43	13.557	1
2.700580e+02	1	MoneyCue	4	19	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	69.7	-0.9623	1
2.710580e+02	4	Anticipation	4	19	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	n/a	n/a	1
2.750740e+02	2.5	Image	4	19	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	64.133	0.35847	1
2.849060e+02	1	MoneyCue	4	20	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor7.jpg	animate23.jpg	58.8	-0.22623	2
2.859060e+02	4	Anticipation	4	20	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor7.jpg	animate23.jpg	n/a	n/a	2
2.899060e+02	2.5	Image	4	20	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor7.jpg	animate23.jpg	52.6	2.2442	2
2.987220e+02	1	MoneyCue	4	21	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor18.jpg	animate3.jpg	46.414	-0.70855	3
2.997220e+02	6	Anticipation	4	21	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor18.jpg	animate3.jpg	n/a	n/a	3
3.057380e+02	2.5	Image	4	21	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor18.jpg	animate3.jpg	67.3	2.4541	3
3.145530e+02	1	MoneyCue	4	22	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	61.433	-1.4407	2
3.155530e+02	2	Anticipation	4	22	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	n/a	n/a	2
3.175530e+02	2.5	Image	4	22	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor62.jpg	inanimate14.jpg	56	5.1639	2
3.283690e+02	1	MoneyCue	4	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	50.985	4.2765	2
3.293690e+02	4	Anticipation	4	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	n/a	n/a	2
3.333850e+02	2.5	Image	4	23	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor21.jpg	animate32.jpg	44.021	16.143	2
3.432010e+02	1	MoneyCue	4	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor50.jpg	inanimate2.jpg	51.322	5.7106	2
3.442010e+02	4	Anticipation	4	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor50.jpg	inanimate2.jpg	n/a	n/a	2
3.482170e+02	2.5	Image	4	24	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor50.jpg	inanimate2.jpg	49.433	9.1077	2
