onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.267000e+00	1	MoneyCue	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	n/a	1.3309	1
3.283000e+00	6	Anticipation	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	n/a	n/a	1
9.283000e+00	2.5	Image	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	55.6	2.3016	1
2.011500e+01	1	MoneyCue	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	60.9	3.4115	1
2.111500e+01	2	Anticipation	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	n/a	n/a	1
2.311500e+01	2.5	Image	1	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor25.jpg	animate8.jpg	62.019	1.0299	1
3.393000e+01	1	MoneyCue	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	64.418	-1.4357	1
3.493000e+01	2	Anticipation	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	n/a	n/a	1
3.693000e+01	2.5	Image	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor8.jpg	animate48.jpg	57.433	8.288	1
4.576200e+01	1	MoneyCue	1	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor22.jpg	animate6.jpg	62.839	2.374	1
4.676200e+01	2	Anticipation	1	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor22.jpg	animate6.jpg	n/a	n/a	1
4.876200e+01	2.5	Image	1	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor22.jpg	animate6.jpg	65.133	-0.59235	1
5.861100e+01	1	MoneyCue	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	62.567	-0.0092896	1
5.961100e+01	4	Anticipation	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	n/a	n/a	1
6.361100e+01	2.5	Image	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	63.7	1.2016	1
7.444300e+01	1	MoneyCue	1	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	54.4	2.0836	1
7.544300e+01	2	Anticipation	1	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	n/a	n/a	1
7.744300e+01	2.5	Image	1	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	62.533	0.22077	1
8.825900e+01	1	MoneyCue	1	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor59.jpg	inanimate11.jpg	65.123	2.2209	1
8.927500e+01	6	Anticipation	1	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor59.jpg	inanimate11.jpg	n/a	n/a	1
9.529100e+01	2.5	Image	1	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor59.jpg	inanimate11.jpg	65	1.8033	1
1.061400e+02	1	MoneyCue	1	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	61.567	1.2038	1
1.071400e+02	4	Anticipation	1	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	n/a	n/a	1
1.111400e+02	2.5	Image	1	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	64.976	-0.79586	1
1.209720e+02	1	MoneyCue	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor64.jpg	inanimate16.jpg	64.967	-0.6224	1
1.219720e+02	4	Anticipation	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor64.jpg	inanimate16.jpg	n/a	n/a	1
1.259720e+02	2.5	Image	1	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor64.jpg	inanimate16.jpg	64.811	1.0905	1
1.358040e+02	1	MoneyCue	1	10	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	68.086	-2.3896	1
1.368040e+02	4	Anticipation	1	10	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	n/a	n/a	1
1.408040e+02	2.5	Image	1	10	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor31.jpg	animate12.jpg	65	-0.85246	1
1.506530e+02	1	MoneyCue	1	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	59.695	6.5296	1
1.516530e+02	2	Anticipation	1	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	n/a	n/a	1
1.536690e+02	2.5	Image	1	11	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor16.jpg	animate29.jpg	56.723	4.4541	1
1.645010e+02	1	MoneyCue	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	59.3	4.8066	1
1.655010e+02	4	Anticipation	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	n/a	n/a	1
1.695010e+02	2.5	Image	1	12	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	68.867	-0.046995	1
1.793330e+02	1	MoneyCue	1	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	62	2.2273	1
1.803330e+02	6	Anticipation	1	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	n/a	n/a	1
1.863330e+02	2.5	Image	1	13	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor68.jpg	inanimate20.jpg	63.855	-0.0085013	1
1.951820e+02	1	MoneyCue	1	14	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor8.jpg	animate24.jpg	66.1	-1.3951	1
