onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.183000e+00	1	MoneyCue	3	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor10.jpg	animate1.jpg	62.2	1.1867	1
3.183000e+00	6	Anticipation	3	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor10.jpg	animate1.jpg	n/a	n/a	1
9.199000e+00	2.5	Image	3	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor10.jpg	animate1.jpg	62.2	2.2918	1
1.801500e+01	1	MoneyCue	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	63.317	-1.579	1
1.901500e+01	4	Anticipation	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	n/a	n/a	1
2.303100e+01	2.5	Image	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor33.jpg	animate14.jpg	62.167	-0.42896	1
3.286400e+01	1	MoneyCue	3	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor54.jpg	inanimate30.jpg	57.047	5.5428	1
3.388000e+01	4	Anticipation	3	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor54.jpg	inanimate30.jpg	n/a	n/a	1
3.788000e+01	2.5	Image	3	3	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor54.jpg	inanimate30.jpg	64.833	1.3634	1
4.672900e+01	1	MoneyCue	3	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	62.679	-0.36789	1
4.772900e+01	6	Anticipation	3	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	n/a	n/a	1
5.374500e+01	2.5	Image	3	4	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor61.jpg	inanimate13.jpg	61	-0.90164	1
6.357800e+01	1	MoneyCue	3	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor68.jpg	inanimate44.jpg	58.3	5.4213	1
6.459400e+01	2	Anticipation	3	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	1
6.659400e+01	2.5	Image	3	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor68.jpg	inanimate44.jpg	62.733	0.84044	1
7.744300e+01	1	MoneyCue	3	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	55.467	0.43497	1
7.844300e+01	2	Anticipation	3	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	n/a	n/a	1
8.045900e+01	2.5	Image	3	6	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor29.jpg	animate11.jpg	59.9	-0.47377	1
9.127500e+01	1	MoneyCue	3	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	56.333	3.7814	1
9.227500e+01	6	Anticipation	3	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	n/a	n/a	1
9.829100e+01	2.5	Image	3	7	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	62.667	-1.1421	1
1.071230e+02	1	MoneyCue	3	8	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	63.033	0.26084	1
1.081230e+02	4	Anticipation	3	8	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	n/a	n/a	1
1.121230e+02	2.5	Image	3	8	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor49.jpg	inanimate1.jpg	63.667	-0.45355	1
1.229380e+02	1	MoneyCue	3	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	58.792	1.3067	1
1.239380e+02	6	Anticipation	3	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	n/a	n/a	1
1.299380e+02	2.5	Image	3	9	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor37.jpg	animate39.jpg	64.067	3.4579	1
