onset	duration	type
0.066	1	Objects
1.365	1	Objects
2.649	1	Objects
3.965	1	Objects
5.248	1	Objects
6.532	1	Objects
7.831	1	Objects
9.115	1	Objects
20.397	1	Scenes
21.68	1	Scenes
22.963	1	Scenes
24.246	1	Scenes
25.53	1	Scenes
26.829	1	Scenes
28.113	1	Scenes
29.396	1	Scenes
40.678	1	Scrambled
41.961	1	Scrambled
43.244	1	Scrambled
44.528	1	Scrambled
45.811	1	Scrambled
47.094	1	Scrambled
48.377	1	Scrambled
49.66	1	Scrambled
60.943	1	Objects
62.226	1	Objects
63.509	1	Objects
64.792	1	Objects
66.075	1	Objects
67.359	1	Objects
68.642	1	Objects
69.925	1	Objects
81.207	1	Scenes
82.49	1	Scenes
83.774	1	Scenes
85.057	1	Scenes
86.34	1	Scenes
87.623	1	Scenes
88.906	1	Scenes
90.19	1	Scenes
101.472	1	Scrambled
102.755	1	Scrambled
104.038	1	Scrambled
105.321	1	Scrambled
106.605	1	Scrambled
107.888	1	Scrambled
109.171	1	Scrambled
110.454	1	Scrambled
121.736	1	Objects
123.02	1	Objects
124.319	1	Objects
125.603	1	Objects
126.886	1	Objects
128.169	1	Objects
129.452	1	Objects
130.735	1	Objects
142.018	1	Scenes
143.301	1	Scenes
144.584	1	Scenes
145.867	1	Scenes
147.15	1	Scenes
148.434	1	Scenes
149.717	1	Scenes
151	1	Scenes
162.282	1	Scrambled
163.565	1	Scrambled
164.849	1	Scrambled
166.132	1	Scrambled
167.415	1	Scrambled
168.698	1	Scrambled
169.981	1	Scrambled
171.265	1	Scrambled
182.547	1	Objects
183.83	1	Objects
185.113	1	Objects
186.396	1	Objects
187.68	1	Objects
188.963	1	Objects
190.246	1	Objects
191.529	1	Objects
202.811	1	Scenes
204.095	1	Scenes
205.378	1	Scenes
206.661	1	Scenes
207.944	1	Scenes
209.227	1	Scenes
210.511	1	Scenes
211.794	1	Scenes
223.076	1	Scrambled
224.359	1	Scrambled
225.642	1	Scrambled
226.926	1	Scrambled
228.209	1	Scrambled
229.492	1	Scrambled
230.775	1	Scrambled
232.058	1	Scrambled
243.341	1	Objects
244.64	1	Objects
245.924	1	Objects
247.207	1	Objects
248.49	1	Objects
249.773	1	Objects
251.056	1	Objects
252.34	1	Objects
263.622	1	Scenes
264.905	1	Scenes
266.188	1	Scenes
267.471	1	Scenes
268.755	1	Scenes
270.038	1	Scenes
271.321	1	Scenes
272.604	1	Scenes
283.886	1	Scrambled
285.17	1	Scrambled
286.453	1	Scrambled
287.736	1	Scrambled
289.019	1	Scrambled
290.302	1	Scrambled
291.586	1	Scrambled
292.869	1	Scrambled
304.151	1	Objects
305.434	1	Objects
306.717	1	Objects
308.001	1	Objects
309.284	1	Objects
310.567	1	Objects
311.85	1	Objects
313.133	1	Objects
324.416	1	Scenes
325.715	1	Scenes
326.999	1	Scenes
328.282	1	Scenes
329.565	1	Scenes
330.848	1	Scenes
332.131	1	Scenes
333.415	1	Scenes
344.697	1	Scrambled
345.98	1	Scrambled
347.263	1	Scrambled
348.546	1	Scrambled
349.83	1	Scrambled
351.113	1	Scrambled
352.396	1	Scrambled
353.679	1	Scrambled
