onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.133000e+00	1	MoneyCue	2	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor51.jpg	inanimate3.jpg	50.824	6.3286	2
3.133000e+00	6	Anticipation	2	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor51.jpg	inanimate3.jpg	n/a	n/a	2
9.149000e+00	2.5	Image	2	1	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor51.jpg	inanimate3.jpg	55.433	-0.23661	2
1.788100e+01	1	MoneyCue	2	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	56.887	-1.4105	3
1.888100e+01	2	Anticipation	2	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	n/a	n/a	3
2.088100e+01	2.5	Image	2	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor12.jpg	animate26.jpg	55.367	-3.2027	3
3.063000e+01	1	MoneyCue	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor15.jpg	animate28.jpg	57.367	-0.75191	3
3.163000e+01	6	Anticipation	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor15.jpg	animate28.jpg	n/a	n/a	3
3.764600e+01	2.5	Image	2	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor15.jpg	animate28.jpg	51.125	-1.4033	3
4.837800e+01	1	MoneyCue	2	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor16.jpg	animate29.jpg	50.917	5.4151	3
4.937800e+01	2	Anticipation	2	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor16.jpg	animate29.jpg	n/a	n/a	3
5.139400e+01	2.5	Image	2	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor16.jpg	animate29.jpg	58.993	-1.0589	3
6.011000e+01	1	MoneyCue	2	5	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor29.jpg	animate36.jpg	52.933	0.19313	3
6.111000e+01	6	Anticipation	2	5	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor29.jpg	animate36.jpg	n/a	n/a	3
