onset	duration	type
0.096	1	Scenes
1.429	1	Scenes
2.729	1	Scenes
4.095	1	Scenes
5.395	1	Scenes
6.678	1	Scenes
7.978	1	Scenes
9.262	1	Scenes
20.56	1	Scrambled
21.844	1	Scrambled
23.144	1	Scrambled
24.46	1	Scrambled
25.744	1	Scrambled
27.06	1	Scrambled
28.36	1	Scrambled
29.66	1	Scrambled
40.942	1	Objects
42.226	1	Objects
43.526	1	Objects
44.842	1	Objects
46.142	1	Objects
47.441	1	Objects
48.725	1	Objects
50.041	1	Objects
61.323	1	Scenes
62.607	1	Scenes
63.907	1	Scenes
65.223	1	Scenes
66.523	1	Scenes
67.807	1	Scenes
69.123	1	Scenes
70.423	1	Scenes
81.721	1	Scrambled
83.005	1	Scrambled
84.305	1	Scrambled
85.605	1	Scrambled
86.921	1	Scrambled
88.205	1	Scrambled
89.521	1	Scrambled
90.821	1	Scrambled
102.103	1	Objects
103.403	1	Objects
104.703	1	Objects
105.986	1	Objects
107.27	1	Objects
108.569	1	Objects
109.852	1	Objects
111.135	1	Objects
122.418	1	Scenes
123.718	1	Scenes
125.017	1	Scenes
126.301	1	Scenes
127.601	1	Scenes
128.917	1	Scenes
130.201	1	Scenes
131.501	1	Scenes
142.782	1	Scrambled
144.082	1	Scrambled
145.382	1	Scrambled
146.682	1	Scrambled
147.982	1	Scrambled
149.282	1	Scrambled
150.582	1	Scrambled
151.882	1	Scrambled
163.181	1	Objects
164.481	1	Objects
165.78	1	Objects
167.063	1	Objects
168.347	1	Objects
169.647	1	Objects
170.947	1	Objects
172.247	1	Objects
183.545	1	Scenes
184.845	1	Scenes
186.145	1	Scenes
187.445	1	Scenes
188.729	1	Scenes
190.045	1	Scenes
191.345	1	Scenes
192.645	1	Scenes
203.943	1	Scrambled
205.243	1	Scrambled
206.543	1	Scrambled
207.843	1	Scrambled
209.143	1	Scrambled
210.443	1	Scrambled
211.743	1	Scrambled
213.043	1	Scrambled
224.341	1	Objects
225.625	1	Objects
226.908	1	Objects
228.191	1	Objects
229.475	1	Objects
230.775	1	Objects
232.091	1	Objects
233.391	1	Objects
244.673	1	Scenes
245.973	1	Scenes
247.273	1	Scenes
248.573	1	Scenes
249.889	1	Scenes
251.173	1	Scenes
252.489	1	Scenes
253.789	1	Scenes
265.071	1	Scrambled
266.371	1	Scrambled
267.671	1	Scrambled
268.971	1	Scrambled
270.271	1	Scrambled
271.587	1	Scrambled
272.887	1	Scrambled
274.187	1	Scrambled
285.469	1	Objects
286.753	1	Objects
288.052	1	Objects
289.336	1	Objects
290.636	1	Objects
291.936	1	Objects
293.252	1	Objects
294.552	1	Objects
305.834	1	Scenes
307.117	1	Scenes
308.417	1	Scenes
309.701	1	Scenes
311.017	1	Scenes
312.317	1	Scenes
313.6	1	Scenes
314.9	1	Scenes
326.182	1	Scrambled
327.482	1	Scrambled
328.782	1	Scrambled
330.082	1	Scrambled
331.381	1	Scrambled
332.681	1	Scrambled
333.981	1	Scrambled
335.281	1	Scrambled
346.563	1	Objects
347.847	1	Objects
349.147	1	Objects
350.447	1	Objects
351.747	1	Objects
353.063	1	Objects
354.363	1	Objects
355.663	1	Objects
