onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.116000e+00	1	MoneyCue	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	58.195	4.6908	3
3.116000e+00	2	Anticipation	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	n/a	n/a	3
5.116000e+00	2.5	Image	4	1	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	61.412	1.965	3
1.384800e+01	1	MoneyCue	4	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	62.6	0.60933	2
1.484800e+01	2	Anticipation	4	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	n/a	n/a	2
1.684800e+01	2.5	Image	4	2	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor44.jpg	animate42.jpg	57.992	-2.6474	2
2.658000e+01	1	MoneyCue	4	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	52.367	-1.3787	1
2.758000e+01	2	Anticipation	4	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	n/a	n/a	1
2.958000e+01	2.5	Image	4	3	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor29.jpg	animate36.jpg	43.1	8.1514	1
4.031200e+01	1	MoneyCue	4	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor67.jpg	inanimate19.jpg	n/a	n/a	3
4.131200e+01	6	Anticipation	4	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor67.jpg	inanimate19.jpg	n/a	n/a	3
4.732800e+01	2.5	Image	4	4	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor67.jpg	inanimate19.jpg	39	12.591	3
5.604400e+01	1	MoneyCue	4	5	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor32.jpg	animate13.jpg	41.659	-0.40041	3
