onset	duration	type
0.062	1	Scrambled
1.346	1	Scrambled
2.629	1	Scrambled
3.912	1	Scrambled
5.195	1	Scrambled
6.478	1	Scrambled
7.762	1	Scrambled
9.045	1	Scrambled
20.327	1	Scenes
21.61	1	Scenes
22.893	1	Scenes
24.177	1	Scenes
25.476	1	Scenes
26.76	1	Scenes
28.059	1	Scenes
29.343	1	Scenes
40.625	1	Objects
41.908	1	Objects
43.191	1	Objects
44.474	1	Objects
45.758	1	Objects
47.057	1	Objects
48.341	1	Objects
49.624	1	Objects
60.906	1	Scrambled
62.189	1	Scrambled
63.472	1	Scrambled
64.756	1	Scrambled
66.055	1	Scrambled
67.339	1	Scrambled
68.638	1	Scrambled
69.922	1	Scrambled
81.204	1	Scenes
82.487	1	Scenes
83.77	1	Scenes
85.053	1	Scenes
86.337	1	Scenes
87.636	1	Scenes
88.92	1	Scenes
90.203	1	Scenes
101.485	1	Objects
102.768	1	Objects
104.051	1	Objects
105.335	1	Objects
106.634	1	Objects
107.918	1	Objects
109.217	1	Objects
110.501	1	Objects
121.783	1	Scrambled
123.066	1	Scrambled
124.349	1	Scrambled
125.632	1	Scrambled
126.916	1	Scrambled
128.215	1	Scrambled
129.499	1	Scrambled
130.782	1	Scrambled
142.064	1	Scenes
143.347	1	Scenes
144.63	1	Scenes
145.914	1	Scenes
147.213	1	Scenes
148.497	1	Scenes
149.796	1	Scenes
151.08	1	Scenes
162.362	1	Objects
163.645	1	Objects
164.928	1	Objects
166.211	1	Objects
167.495	1	Objects
168.794	1	Objects
170.078	1	Objects
171.377	1	Objects
182.66	1	Scrambled
183.943	1	Scrambled
185.226	1	Scrambled
186.509	1	Scrambled
187.792	1	Scrambled
189.076	1	Scrambled
190.375	1	Scrambled
191.659	1	Scrambled
202.941	1	Scenes
204.224	1	Scenes
205.507	1	Scenes
206.79	1	Scenes
208.074	1	Scenes
209.373	1	Scenes
210.657	1	Scenes
211.94	1	Scenes
223.222	1	Objects
224.505	1	Objects
225.788	1	Objects
227.072	1	Objects
228.371	1	Objects
229.655	1	Objects
230.954	1	Objects
232.238	1	Objects
243.52	1	Scrambled
244.803	1	Scrambled
246.086	1	Scrambled
247.369	1	Scrambled
248.653	1	Scrambled
249.952	1	Scrambled
251.236	1	Scrambled
252.519	1	Scrambled
263.801	1	Scenes
265.084	1	Scenes
266.367	1	Scenes
267.651	1	Scenes
268.95	1	Scenes
270.234	1	Scenes
271.533	1	Scenes
272.817	1	Scenes
284.099	1	Objects
285.382	1	Objects
286.665	1	Objects
287.948	1	Objects
289.232	1	Objects
290.531	1	Objects
291.815	1	Objects
293.114	1	Objects
304.397	1	Scrambled
305.696	1	Scrambled
306.98	1	Scrambled
308.263	1	Scrambled
309.546	1	Scrambled
310.829	1	Scrambled
312.112	1	Scrambled
313.396	1	Scrambled
324.678	1	Scenes
325.961	1	Scenes
327.244	1	Scenes
328.527	1	Scenes
329.811	1	Scenes
331.11	1	Scenes
332.394	1	Scenes
333.677	1	Scenes
344.959	1	Objects
346.242	1	Objects
347.525	1	Objects
348.809	1	Objects
350.108	1	Objects
351.392	1	Objects
352.691	1	Objects
353.975	1	Objects
