onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.117000e+00	1	MoneyCue	4	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor46.jpg	animate43.jpg	71.4	0.20656	2
3.117000e+00	6	Anticipation	4	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor46.jpg	animate43.jpg	n/a	n/a	2
9.133000e+00	2.5	Image	4	1	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor46.jpg	animate43.jpg	70.5	0.64754	2
1.789900e+01	1	MoneyCue	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor35.jpg	animate15.jpg	71.1	-0.23115	2
1.891500e+01	2	Anticipation	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor35.jpg	animate15.jpg	n/a	n/a	2
2.091500e+01	2.5	Image	4	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor35.jpg	animate15.jpg	67.9	2.7393	2
3.166400e+01	1	MoneyCue	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	62.833	1.3142	1
3.268000e+01	6	Anticipation	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	n/a	n/a	1
3.869600e+01	2.5	Image	4	3	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor66.jpg	inanimate42.jpg	59	9.9836	1
4.942800e+01	1	MoneyCue	4	4	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	52.633	n/a	2
5.042800e+01	2	Anticipation	4	4	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	n/a	n/a	2
5.242800e+01	2.5	Image	4	4	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	68.3	3.6344	2
6.316000e+01	1	MoneyCue	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	63.167	-2.5109	1
6.416000e+01	4	Anticipation	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	n/a	n/a	1
6.816000e+01	2.5	Image	4	5	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor63.jpg	inanimate39.jpg	59.733	7.5945	1
7.790900e+01	1	MoneyCue	4	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor68.jpg	inanimate44.jpg	70.9	0.067213	2
7.892500e+01	2	Anticipation	4	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor68.jpg	inanimate44.jpg	n/a	n/a	2
8.092500e+01	2.5	Image	4	6	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor68.jpg	inanimate44.jpg	59.9	3.9197	2
9.164000e+01	1	MoneyCue	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	53.567	n/a	2
9.264000e+01	6	Anticipation	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	n/a	n/a	2
9.864000e+01	2.5	Image	4	7	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	58.167	11.325	2
1.073890e+02	1	MoneyCue	4	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	72.4	-0.18689	2
1.083890e+02	2	Anticipation	4	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	n/a	n/a	2
1.104050e+02	2.5	Image	4	8	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor47.jpg	animate44.jpg	63.867	4.5136	2
1.191380e+02	1	MoneyCue	4	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	67.733	-0.028415	2
1.201540e+02	2	Anticipation	4	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	n/a	n/a	2
1.221540e+02	2.5	Image	4	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor55.jpg	inanimate31.jpg	65.167	0.93169	2
