onset	duration	type
0.097	1	Scenes
1.397	1	Scenes
2.697	1	Scenes
3.997	1	Scenes
5.314	1	Scenes
6.63	1	Scenes
7.93	1	Scenes
9.23	1	Scenes
20.496	1	Scrambled
21.795	1	Scrambled
23.095	1	Scrambled
24.379	1	Scrambled
25.679	1	Scrambled
26.995	1	Scrambled
28.295	1	Scrambled
29.595	1	Scrambled
40.861	1	Objects
42.177	1	Objects
43.461	1	Objects
44.761	1	Objects
46.077	1	Objects
47.361	1	Objects
48.661	1	Objects
49.96	1	Objects
61.226	1	Scenes
62.526	1	Scenes
63.826	1	Scenes
65.142	1	Scenes
66.442	1	Scenes
67.742	1	Scenes
69.042	1	Scenes
70.358	1	Scenes
81.64	1	Scrambled
82.94	1	Scrambled
84.24	1	Scrambled
85.54	1	Scrambled
86.84	1	Scrambled
88.14	1	Scrambled
89.44	1	Scrambled
90.74	1	Scrambled
102.005	1	Objects
103.289	1	Objects
104.589	1	Objects
105.905	1	Objects
107.205	1	Objects
108.505	1	Objects
109.789	1	Objects
111.105	1	Objects
122.387	1	Scenes
123.687	1	Scenes
124.987	1	Scenes
126.287	1	Scenes
127.637	1	Scenes
128.936	1	Scenes
130.22	1	Scenes
131.52	1	Scenes
142.819	1	Scrambled
144.119	1	Scrambled
145.419	1	Scrambled
146.735	1	Scrambled
148.035	1	Scrambled
149.335	1	Scrambled
150.635	1	Scrambled
151.935	1	Scrambled
163.234	1	Objects
164.534	1	Objects
165.851	1	Objects
167.167	1	Objects
168.467	1	Objects
169.783	1	Objects
171.067	1	Objects
172.366	1	Objects
183.649	1	Scenes
184.965	1	Scenes
186.265	1	Scenes
187.565	1	Scenes
188.865	1	Scenes
190.165	1	Scenes
191.465	1	Scenes
192.781	1	Scenes
204.063	1	Scrambled
205.363	1	Scrambled
206.663	1	Scrambled
207.963	1	Scrambled
209.263	1	Scrambled
210.563	1	Scrambled
211.863	1	Scrambled
213.163	1	Scrambled
224.428	1	Objects
225.712	1	Objects
227.012	1	Objects
228.328	1	Objects
229.611	1	Objects
230.911	1	Objects
232.211	1	Objects
233.495	1	Objects
244.793	1	Scenes
246.093	1	Scenes
247.393	1	Scenes
248.693	1	Scenes
249.993	1	Scenes
251.293	1	Scenes
252.593	1	Scenes
253.893	1	Scenes
265.192	1	Scrambled
266.492	1	Scrambled
267.808	1	Scrambled
269.108	1	Scrambled
270.408	1	Scrambled
271.708	1	Scrambled
273.008	1	Scrambled
274.308	1	Scrambled
285.607	1	Objects
286.907	1	Objects
288.207	1	Objects
289.507	1	Objects
290.807	1	Objects
292.107	1	Objects
293.423	1	Objects
294.723	1	Objects
306.022	1	Scenes
307.338	1	Scenes
308.622	1	Scenes
309.938	1	Scenes
311.238	1	Scenes
312.538	1	Scenes
313.854	1	Scenes
315.154	1	Scenes
326.436	1	Scrambled
327.736	1	Scrambled
329.036	1	Scrambled
330.336	1	Scrambled
331.636	1	Scrambled
332.936	1	Scrambled
334.236	1	Scrambled
335.536	1	Scrambled
346.818	1	Objects
348.118	1	Objects
349.402	1	Objects
350.718	1	Objects
352.001	1	Objects
353.285	1	Objects
354.601	1	Objects
355.901	1	Objects
