onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.117000e+00	1	MoneyCue	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	73.533	4.621	2
3.117000e+00	4	Anticipation	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	n/a	n/a	2
7.133000e+00	2.5	Image	3	1	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor56.jpg	inanimate32.jpg	71.333	4.0929	2
1.588200e+01	1	MoneyCue	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor55.jpg	inanimate7.jpg	73.3	0.82817	2
1.688200e+01	2	Anticipation	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor55.jpg	inanimate7.jpg	n/a	n/a	2
1.888200e+01	2.5	Image	3	2	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor55.jpg	inanimate7.jpg	71.867	6.5432	2
2.863100e+01	1	MoneyCue	3	3	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor57.jpg	inanimate9.jpg	68.367	2.6005	3
2.963100e+01	2	Anticipation	3	3	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor57.jpg	inanimate9.jpg	n/a	n/a	3
3.164700e+01	2.5	Image	3	3	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor57.jpg	inanimate9.jpg	71.433	4.1404	3
4.237900e+01	1	MoneyCue	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	72.4	-2.7033	3
4.337900e+01	6	Anticipation	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	n/a	n/a	3
4.939500e+01	2.5	Image	3	4	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor63.jpg	inanimate15.jpg	67.933	11.083	3
5.811100e+01	1	MoneyCue	3	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	70.489	-2.7211	3
5.911100e+01	2	Anticipation	3	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	n/a	n/a	3
6.112700e+01	2.5	Image	3	5	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor43.jpg	animate41.jpg	63.167	16.587	3
6.986000e+01	1	MoneyCue	3	6	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	62.458	-0.70423	3
7.087600e+01	2	Anticipation	3	6	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	n/a	n/a	3
7.287600e+01	2.5	Image	3	6	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor29.jpg	animate11.jpg	61.767	10.922	3
8.259200e+01	1	MoneyCue	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	77.567	0.044935	3
8.360800e+01	2	Anticipation	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	n/a	n/a	3
8.560800e+01	2.5	Image	3	7	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor68.jpg	inanimate44.jpg	74.433	2.5503	3
9.634000e+01	1	MoneyCue	3	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	72.942	-0.057021	3
9.734000e+01	6	Anticipation	3	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	n/a	n/a	3
1.033560e+02	2.5	Image	3	8	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor70.jpg	inanimate46.jpg	64.067	2.5563	3
1.120880e+02	1	MoneyCue	3	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor50.jpg	inanimate26.jpg	58.608	1.13	2
1.130880e+02	4	Anticipation	3	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor50.jpg	inanimate26.jpg	n/a	n/a	2
1.170880e+02	2.5	Image	3	9	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor50.jpg	inanimate26.jpg	65.4	2.8787	2
1.268200e+02	1	MoneyCue	3	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	72.989	-7.5632	3
1.278200e+02	2	Anticipation	3	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	n/a	n/a	3
1.298200e+02	2.5	Image	3	10	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	indoor40.jpg	animate18.jpg	67.133	11.014	3
1.405520e+02	1	MoneyCue	3	11	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	72.267	0.061202	3
1.415520e+02	4	Anticipation	3	11	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	n/a	n/a	3
1.455680e+02	2.5	Image	3	11	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor42.jpg	animate40.jpg	71.4	5.3863	3
1.553000e+02	1	MoneyCue	3	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor30.jpg	animate37.jpg	78.3	3.2806	1
1.563000e+02	6	Anticipation	3	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor30.jpg	animate37.jpg	n/a	n/a	1
1.623000e+02	2.5	Image	3	12	AROUSING	REMSCENE	REMOBJECT	1	1	RR	outdoor30.jpg	animate37.jpg	66.433	9.7962	1
1.710490e+02	1	MoneyCue	3	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor35.jpg	animate15.jpg	74.417	-1.1044	3
1.720490e+02	4	Anticipation	3	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor35.jpg	animate15.jpg	n/a	n/a	3
1.760650e+02	2.5	Image	3	13	NEUTRAL	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor35.jpg	animate15.jpg	64.367	7.1907	3
1.857810e+02	1	MoneyCue	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor53.jpg	inanimate29.jpg	77.633	-1.0391	2
1.867970e+02	2	Anticipation	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor53.jpg	inanimate29.jpg	n/a	n/a	2
1.887970e+02	2.5	Image	3	14	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor53.jpg	inanimate29.jpg	65.133	9.424	2
1.995460e+02	1	MoneyCue	3	15	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	67.867	5.3137	1
2.005460e+02	2	Anticipation	3	15	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	n/a	n/a	1
2.025620e+02	2.5	Image	3	15	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor11.jpg	animate25.jpg	74.4	0.30492	1
2.112780e+02	1	MoneyCue	3	16	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor62.jpg	inanimate14.jpg	64.467	2.8653	3
2.122780e+02	4	Anticipation	3	16	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor62.jpg	inanimate14.jpg	n/a	n/a	3
2.162940e+02	2.5	Image	3	16	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor62.jpg	inanimate14.jpg	76.167	0.62022	3
2.270260e+02	1	MoneyCue	3	17	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	65.105	-7.023	3
2.280260e+02	4	Anticipation	3	17	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	n/a	n/a	3
2.320260e+02	2.5	Image	3	17	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor52.jpg	inanimate28.jpg	73.467	2.6973	3
2.427740e+02	1	MoneyCue	3	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	62.667	1.3497	3
2.437740e+02	6	Anticipation	3	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	n/a	n/a	3
2.497740e+02	2.5	Image	3	18	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor25.jpg	animate8.jpg	57.776	16.027	3
2.595230e+02	1	MoneyCue	3	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	80.767	0.62678	3
2.605230e+02	6	Anticipation	3	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	n/a	n/a	3
2.665390e+02	2.5	Image	3	19	NEUTRAL	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor60.jpg	inanimate36.jpg	73	2.377	3
2.772870e+02	1	MoneyCue	3	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	67.5	-1.582	2
2.782870e+02	4	Anticipation	3	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	n/a	n/a	2
2.822870e+02	2.5	Image	3	20	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor20.jpg	animate5.jpg	71.633	6.4814	2
2.910030e+02	1	MoneyCue	3	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor49.jpg	inanimate1.jpg	72.454	-0.41523	3
2.920190e+02	6	Anticipation	3	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor49.jpg	inanimate1.jpg	n/a	n/a	3
2.980350e+02	2.5	Image	3	21	AROUSING	REMSCENE	REMOBJECT	1	1	RR	indoor49.jpg	inanimate1.jpg	65.3	8.9787	3
3.087670e+02	1	MoneyCue	3	22	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor72.jpg	inanimate48.jpg	69.467	2.1156	3
3.097670e+02	4	Anticipation	3	22	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor72.jpg	inanimate48.jpg	n/a	n/a	3
3.137670e+02	2.5	Image	3	22	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor72.jpg	inanimate48.jpg	71.1	0.37541	3
3.235160e+02	1	MoneyCue	3	23	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor8.jpg	animate24.jpg	63.533	-1.9923	3
3.245160e+02	6	Anticipation	3	23	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	indoor8.jpg	animate24.jpg	n/a	n/a	3
