onset	duration	type
0.061	1	Scrambled
1.378	1	Scrambled
2.661	1	Scrambled
3.944	1	Scrambled
5.227	1	Scrambled
6.51	1	Scrambled
7.794	1	Scrambled
9.077	1	Scrambled
20.359	1	Scenes
21.642	1	Scenes
22.925	1	Scenes
24.209	1	Scenes
25.508	1	Scenes
26.792	1	Scenes
28.075	1	Scenes
29.358	1	Scenes
40.64	1	Objects
41.923	1	Objects
43.207	1	Objects
44.506	1	Objects
45.79	1	Objects
47.089	1	Objects
48.373	1	Objects
49.656	1	Objects
60.938	1	Scrambled
62.221	1	Scrambled
63.504	1	Scrambled
64.788	1	Scrambled
66.087	1	Scrambled
67.371	1	Scrambled
68.654	1	Scrambled
69.937	1	Scrambled
81.219	1	Scenes
82.502	1	Scenes
83.786	1	Scenes
85.085	1	Scenes
86.369	1	Scenes
87.668	1	Scenes
88.952	1	Scenes
90.235	1	Scenes
101.517	1	Objects
102.8	1	Objects
104.083	1	Objects
105.367	1	Objects
106.666	1	Objects
107.95	1	Objects
109.233	1	Objects
110.516	1	Objects
121.798	1	Scrambled
123.081	1	Scrambled
124.365	1	Scrambled
125.664	1	Scrambled
126.948	1	Scrambled
128.247	1	Scrambled
129.531	1	Scrambled
130.814	1	Scrambled
142.096	1	Scenes
143.379	1	Scenes
144.662	1	Scenes
145.946	1	Scenes
147.245	1	Scenes
148.529	1	Scenes
149.812	1	Scenes
151.095	1	Scenes
162.377	1	Objects
163.66	1	Objects
164.944	1	Objects
166.243	1	Objects
167.527	1	Objects
168.826	1	Objects
170.11	1	Objects
171.393	1	Objects
182.675	1	Scrambled
183.958	1	Scrambled
185.241	1	Scrambled
186.525	1	Scrambled
187.824	1	Scrambled
189.108	1	Scrambled
190.391	1	Scrambled
191.674	1	Scrambled
202.956	1	Scenes
204.239	1	Scenes
205.523	1	Scenes
206.822	1	Scenes
208.106	1	Scenes
209.405	1	Scenes
210.689	1	Scenes
211.972	1	Scenes
223.254	1	Objects
224.537	1	Objects
225.82	1	Objects
227.104	1	Objects
228.403	1	Objects
229.687	1	Objects
230.97	1	Objects
232.253	1	Objects
243.535	1	Scrambled
244.818	1	Scrambled
246.102	1	Scrambled
247.401	1	Scrambled
248.685	1	Scrambled
249.984	1	Scrambled
251.268	1	Scrambled
252.551	1	Scrambled
263.833	1	Scenes
265.116	1	Scenes
266.399	1	Scenes
267.683	1	Scenes
268.982	1	Scenes
270.266	1	Scenes
271.549	1	Scenes
272.832	1	Scenes
284.114	1	Objects
285.397	1	Objects
286.681	1	Objects
287.98	1	Objects
289.264	1	Objects
290.563	1	Objects
291.847	1	Objects
293.13	1	Objects
304.412	1	Scrambled
305.695	1	Scrambled
306.978	1	Scrambled
308.262	1	Scrambled
309.561	1	Scrambled
310.845	1	Scrambled
312.128	1	Scrambled
313.411	1	Scrambled
324.693	1	Scenes
325.976	1	Scenes
327.26	1	Scenes
328.559	1	Scenes
329.843	1	Scenes
331.142	1	Scenes
332.426	1	Scenes
333.709	1	Scenes
344.991	1	Objects
346.274	1	Objects
347.557	1	Objects
348.841	1	Objects
350.14	1	Objects
351.424	1	Objects
352.707	1	Objects
353.99	1	Objects
