onset	duration	TrialEvent	BlockNumber	TrialNumber	Condition	SceneCategory	ObjectCategory	SceneRem	ObjectRem	MemCategory	Target	Distracter	PreEvent_PupilMax	Event_PupilDilation	MemoryStrength
2.184000e+00	1	MoneyCue	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor72.jpg	inanimate24.jpg	58.333	0.5847	3
3.200000e+00	4	Anticipation	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor72.jpg	inanimate24.jpg	n/a	n/a	3
7.200000e+00	2.5	Image	1	1	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor72.jpg	inanimate24.jpg	62.2	10.045	3
1.693200e+01	1	MoneyCue	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor69.jpg	inanimate45.jpg	66.767	0.34809	2
1.793200e+01	6	Anticipation	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor69.jpg	inanimate45.jpg	n/a	n/a	2
2.394800e+01	2.5	Image	1	2	AROUSING	REMSCENE	FORGOTOBJECT	1	0	RF	outdoor69.jpg	inanimate45.jpg	69.4	0.79672	2
3.469700e+01	1	MoneyCue	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor58.jpg	inanimate10.jpg	65.255	-1.8657	3
3.571300e+01	6	Anticipation	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor58.jpg	inanimate10.jpg	n/a	n/a	3
4.172900e+01	2.5	Image	1	3	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor58.jpg	inanimate10.jpg	62.911	9.2692	3
5.046200e+01	1	MoneyCue	1	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	61.8	3.1976	2
5.147800e+01	4	Anticipation	1	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	n/a	n/a	2
5.547800e+01	2.5	Image	1	4	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	indoor68.jpg	inanimate20.jpg	72.867	4.0186	2
6.521100e+01	1	MoneyCue	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	65.533	0.20437	3
6.622700e+01	4	Anticipation	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	n/a	n/a	3
7.024300e+01	2.5	Image	1	5	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor60.jpg	inanimate12.jpg	68.267	3.9792	3
8.097500e+01	1	MoneyCue	1	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor55.jpg	inanimate31.jpg	64.967	0.66821	3
8.197500e+01	2	Anticipation	1	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor55.jpg	inanimate31.jpg	n/a	n/a	3
8.397500e+01	2.5	Image	1	6	AROUSING	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor55.jpg	inanimate31.jpg	70.667	3.1366	3
9.472400e+01	1	MoneyCue	1	7	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor12.jpg	animate26.jpg	71.913	-2.1428	2
9.574000e+01	4	Anticipation	1	7	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor12.jpg	animate26.jpg	n/a	n/a	2
9.974000e+01	2.5	Image	1	7	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	outdoor12.jpg	animate26.jpg	70.4	-0.8918	2
1.084720e+02	1	MoneyCue	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor37.jpg	animate39.jpg	70.517	1.133	3
1.094720e+02	2	Anticipation	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor37.jpg	animate39.jpg	n/a	n/a	3
1.114720e+02	2.5	Image	1	8	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	outdoor37.jpg	animate39.jpg	71.9	3.9197	3
1.222210e+02	1	MoneyCue	1	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor51.jpg	inanimate3.jpg	66.733	-0.43825	1
1.232370e+02	6	Anticipation	1	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor51.jpg	inanimate3.jpg	n/a	n/a	1
1.292530e+02	2.5	Image	1	9	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor51.jpg	inanimate3.jpg	64.133	8.3257	1
1.379690e+02	1	MoneyCue	1	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	72.466	-1.6723	2
1.389690e+02	2	Anticipation	1	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	n/a	n/a	2
1.409690e+02	2.5	Image	1	10	AROUSING	FORGOTSCENE	FORGOTOBJECT	0	0	FF	indoor13.jpg	animate2.jpg	70.967	5.6891	2
1.497010e+02	1	MoneyCue	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	70.267	1.2961	2
1.507010e+02	6	Anticipation	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	n/a	n/a	2
1.567170e+02	2.5	Image	1	11	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	indoor26.jpg	animate9.jpg	67.033	2.7372	2
1.654490e+02	1	MoneyCue	1	12	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	70.2	0.93834	2
1.664490e+02	2	Anticipation	1	12	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	n/a	n/a	2
1.684490e+02	2.5	Image	1	12	NEUTRAL	REMSCENE	REMOBJECT	1	1	RR	outdoor57.jpg	inanimate33.jpg	68.733	4.1191	2
1.791650e+02	1	MoneyCue	1	13	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor10.jpg	animate1.jpg	74.1	-0.21475	3
1.801810e+02	2	Anticipation	1	13	NEUTRAL	FORGOTSCENE	REMOBJECT	0	1	FR	indoor10.jpg	animate1.jpg	n/a	n/a	3
