onset	duration	type
0.049	1	Scenes
1.349	1	Scenes
2.648	1	Scenes
3.915	1	Scenes
5.198	1	Scenes
6.481	1	Scenes
7.748	1	Scenes
9.031	1	Scenes
20.313	1	Scrambled
21.596	1	Scrambled
22.88	1	Scrambled
24.179	1	Scrambled
25.463	1	Scrambled
26.762	1	Scrambled
28.046	1	Scrambled
29.329	1	Scrambled
40.611	1	Objects
41.894	1	Objects
43.177	1	Objects
44.461	1	Objects
45.76	1	Objects
47.028	1	Objects
48.311	1	Objects
49.61	1	Objects
60.892	1	Scenes
62.175	1	Scenes
63.459	1	Scenes
64.758	1	Scenes
66.042	1	Scenes
67.341	1	Scenes
68.625	1	Scenes
69.908	1	Scenes
81.19	1	Scrambled
82.473	1	Scrambled
83.756	1	Scrambled
85.04	1	Scrambled
86.339	1	Scrambled
87.623	1	Scrambled
88.922	1	Scrambled
90.206	1	Scrambled
101.488	1	Objects
102.771	1	Objects
104.054	1	Objects
105.337	1	Objects
106.621	1	Objects
107.92	1	Objects
109.204	1	Objects
110.503	1	Objects
121.786	1	Scenes
123.085	1	Scenes
124.369	1	Scenes
125.652	1	Scenes
126.935	1	Scenes
128.218	1	Scenes
129.501	1	Scenes
130.785	1	Scenes
142.067	1	Scrambled
143.35	1	Scrambled
144.633	1	Scrambled
145.916	1	Scrambled
147.2	1	Scrambled
148.499	1	Scrambled
149.783	1	Scrambled
151.082	1	Scrambled
162.365	1	Objects
163.664	1	Objects
164.948	1	Objects
166.231	1	Objects
167.514	1	Objects
168.797	1	Objects
170.08	1	Objects
171.364	1	Objects
182.646	1	Scenes
183.929	1	Scenes
185.212	1	Scenes
186.495	1	Scenes
187.779	1	Scenes
189.078	1	Scenes
190.362	1	Scenes
191.661	1	Scenes
202.944	1	Scrambled
204.243	1	Scrambled
205.527	1	Scrambled
206.81	1	Scrambled
208.093	1	Scrambled
209.376	1	Scrambled
210.659	1	Scrambled
211.943	1	Scrambled
223.225	1	Objects
224.508	1	Objects
225.791	1	Objects
227.074	1	Objects
228.358	1	Objects
229.657	1	Objects
230.941	1	Objects
232.24	1	Objects
243.523	1	Scenes
244.822	1	Scenes
246.106	1	Scenes
247.389	1	Scenes
248.672	1	Scenes
249.955	1	Scenes
251.238	1	Scenes
252.522	1	Scenes
263.804	1	Scrambled
265.087	1	Scrambled
266.37	1	Scrambled
267.653	1	Scrambled
268.937	1	Scrambled
270.236	1	Scrambled
271.52	1	Scrambled
272.819	1	Scrambled
284.102	1	Objects
285.401	1	Objects
286.685	1	Objects
287.968	1	Objects
289.251	1	Objects
290.534	1	Objects
291.817	1	Objects
293.084	1	Objects
304.366	1	Scenes
305.649	1	Scenes
306.933	1	Scenes
308.232	1	Scenes
309.516	1	Scenes
310.815	1	Scenes
312.099	1	Scenes
313.398	1	Scenes
324.681	1	Scrambled
325.98	1	Scrambled
327.264	1	Scrambled
328.547	1	Scrambled
329.83	1	Scrambled
331.113	1	Scrambled
332.396	1	Scrambled
333.68	1	Scrambled
344.962	1	Objects
346.245	1	Objects
347.528	1	Objects
348.811	1	Objects
350.095	1	Objects
351.394	1	Objects
352.678	1	Objects
353.977	1	Objects
